ANO_ELEICAO,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_PARTIDO,COMPOSICAO_LEGENDA
2012,SAPÉ,FLAVIO ROBERTO MALHEIROS FELICIANO,PSB,40,PP / PT / PSL / PPS / PSB / PSDB / PT do B
2012,BANANEIRAS,DOUGLAS LUCENA MOURA DE MEDEIROS,PPS,23,PDT / PMDB / PSC / PPS / DEM / PSDC / PSB / PV / PSDB
2012,SOLEDADE,JOSE BENTO LEITE DO NASCIMENTO,PT,13,PP / PT / PTB / PMDB / PR / PTC / PV
2012,SERRA DA RAIZ,ADAILMA FERNANDES DA SILVA,DEM,25,PT / DEM / PSB / PSD
2012,SOLÂNEA,SEBASTIÃO ALBERTO CANDIDO DA CRUZ,PPS,23,PP / PDT / PR / PPS / PSDC / PRTB / PMN / PV / PSDB / PSD
2012,JURIPIRANGA,PAULO DALIA TEIXEIRA,PSD,55,PSD / PSB / PSDB / DEM
2012,MATINHAS,MARIA DE FÁTIMA SILVA,PMDB,15,PRB / PP / PMDB / PSC / PHS
2012,VÁRZEA,JOSE IVALDO DE MORAIS,DEM,25,PT / PTB / PSC / DEM / PSDB
2012,BREJO DOS SANTOS,LUIZ VIEIRA DE ALMEIDA,PT do B,70,PT / PMDB / PSDB / PT do B
2012,MONTADAS,JAIRO HERCULANO DE MELO,PSB,40,PSB
2012,ZABELÊ,IRIS DE CÉU DE SOUSA HENRIQUE,DEM,25,DEM / PSD
2012,MONTEIRO,EDNACÉ ALVES SILVESTRE HENRIQUE,PSDB,45,PDT / PSL / PR / PPS / DEM / PTC / PSB / PV / PSDB / PSD
2012,MULUNGU,JOANA DARC RODRIGUES BANDEIRA FERRAZ,PSB,40,PDT / PMDB / DEM / PSB / PSD
2012,BOA VENTURA,MARIA LEONICE LOPES VITAL,PSDC,27,PSL / PSDC / PSB / PSD / PC do B
2012,MÃE D'ÁGUA,MARGARIDA MARIA FRAGOSO SOARES,PPS,23,PPS / DEM / PSB / PSDB / PSD
2012,MOGEIRO,ANTONIO JOSÉ FERREIRA,PR,22,PSC / PR / PV
2012,OLIVEDOS,GRIGORIO DE ALMEIDA SOUTO,PMDB,15,PMDB / PSC / PSDB
2012,NATUBA,JOSÉ LINS DA SILVA FILHO,PR,22,PP / PMDB / PR / DEM
2012,CACIMBAS,GERALDO TERTO DA SILVA,PSB,40,PT / PSB / PSDB / PSD
2012,SUMÉ,FRANCISCO DUARTE DA SILVA NETO,PMDB,15,PP / PMDB / PSL / PSC / PR / PSDC / PMN / PC do B
2012,TACIMA,ERIVAN BEZERRA DANIEL,PMDB,15,PP / PT / PTB / PMDB / PSC / PC do B
2012,CACIMBA DE DENTRO,EDMILSON GOMES DE SOUZA,PSDB,45,PT / PMDB / PSB / PSDB / PSD
2012,NOVA OLINDA,MARIA DO CARMO SILVA,PSDB,45,PP / PT / PMDB / PSDB / PSD
2012,UMBUZEIRO,THIAGO PESSOA CAMELO,DEM,25,PSDB / PP / DEM / PR
2012,VISTA SERRANA,JURANDY ARAUJO DA SILVA,PMDB,15,PRB / PT / PMDB / PC do B
2012,TRIUNFO,DAMISIO MANGUEIRA DA SILVA,PMDB,15,PDT / PMDB / DEM / PSDB
2012,BORBOREMA,MARIA PAULA GOMES PEREIRA,PSL,17,PMDB / PSL / PV
2012,UIRAÚNA,JOÃO BOSCO NONATO FERNANDES,PSB,40,PMDB / PMN / PSB
2012,TEIXEIRA,EDMILSON ALVES DOS REIS,PMDB,15,PRB / PT / PMDB / PSL
2012,MASSARANDUBA,JOANA DARC QUEIROGA MENDONCA COUTINHO,PSC,20,PDT / PT / PTB / PMDB / PSC / PR
2012,MATURÉIA,DANIEL DANTAS WANDERLEY,PMDB,15,PDT / PT / PMDB / DEM
2012,CALDAS BRANDÃO,NEUMA RODRIGUES DE MOURA SOARES,PMDB,15,PT / PMDB / PSC / PR / PPS
2012,CAMALAÚ,JACINTO BEZERRA DA SILVA,DEM,25,PR / DEM / PSB / PRP / PSD
2012,OURO VELHO,NATALIA CARNEIRO NUNES DE LIRA,PSD,55,PSDB / PSD
2012,CACHOEIRA DOS ÍNDIOS,FRANCISCO DANTAS RICARTE,DEM,25,PTB / PR / DEM / PMN
2012,CABACEIRAS,LUIZ AIRES CAVALCANTE,PSB,40,PP / PSC / DEM / PSDC / PSB / PT do B
2012,JUAZEIRINHO,CARLEUSA CASTRO MARQUES DE OLIVEIRA RAULINO,PTB,14,PT / PTB / PMDB / PTN / DEM / PSB
2012,NAZAREZINHO,SALVAN MENDES PEDROZA,PSB,40,PDT / PMDB / PR / PSB / PV / PSDB / PSD
2012,MONTE HOREBE,CLAUDIA APARECIDA DIAS,DEM,25,PTN / PR / PPS / DEM / PSB / PV / PSD / PC do B
2012,CAIÇARA,CICERO FRANCISCO DA SILVA,PSB,40,PT / PTB / PR / PSB / PSDB / PSD
2012,BOM JESUS,ROBERTO BANDEIRA DE MELO BARBOSA,PSDB,45,PP / PSDB
2012,CAJAZEIRINHAS,CRISTOVÃO AMARO DA SILVA FILHO,PMDB,15,PP / PTB / PMDB / PR / PSB / PV / PSDB / PT do B
2012,TENÓRIO,EVILAZIO DE ARAUJO SOUTO,PSDB,45,PRB / PDT / PTB / DEM / PSB / PSDB / PT do B
2012,NOVA FLORESTA,JOÃO ELIAS DA SILVEIRA NETO AZEVEDO,DEM,25,PDT / PTB / PMDB / DEM
